Current,Voltage,Ah Out,Cumulative Actual Disch Ah,Power,Remaining Capacity,Time to Depletion,type,capacity,charged,prediction
9.36,11.84,0.156,0.156,110.8224,26.844,10324.615384615388,b2,88.81,27.0,10420.41231037466
9.34,11.84,0.1556666666666666,0.3116666666666666,110.5856,26.688333333333333,10286.723768736616,b2,88.81,27.0,10353.32818693069
9.34,11.83,0.1556666666666666,0.4673333333333333,110.4922,26.532666666666668,10226.723768736618,b2,88.81,27.0,10411.174389111904
7.14,11.88,0.119,0.5863333333333334,84.8232,26.413666666666668,13317.81512605042,b2,88.81,27.0,13132.323651803716
7.13,11.88,0.1188333333333333,0.7051666666666667,84.7044,26.294833333333333,13276.49368863955,b2,88.81,27.0,13227.245662841224
7.13,11.88,0.1188333333333333,0.8240000000000001,84.7044,26.176,13216.49368863955,b2,88.81,27.0,13192.255067220085
7.13,11.87,0.1188333333333333,0.9428333333333334,84.6331,26.057166666666667,13156.493688639552,b2,88.81,27.0,13107.680026409449
10.89,11.78,0.1815,1.1243333333333334,128.2842,25.875666666666667,8553.939393939394,b2,88.81,27.0,8681.685199990103
10.89,11.77,0.1815,1.3058333333333334,128.1753,25.694166666666668,8493.939393939394,b2,88.81,27.0,8643.813426247796
10.89,11.77,0.1815,1.4873333333333334,128.1753,25.512666666666668,8433.939393939394,b2,88.81,27.0,8504.557176822043
10.88,11.76,0.1813333333333333,1.6686666666666667,127.9488,25.331333333333333,8381.691176470587,b2,88.81,27.0,8488.46357614936
10.88,11.75,0.1813333333333333,1.85,127.84,25.15,8321.691176470587,b2,88.81,27.0,8482.585873792525
7.72,11.83,0.1286666666666666,1.9786666666666668,91.3276,25.021333333333335,11667.9792746114,b2,88.81,27.0,11481.062035551386
7.71,11.82,0.1285,2.107166666666666,91.1322,24.892833333333332,11623.112840466923,b2,88.81,27.0,11515.166565428937
7.71,11.82,0.1285,2.2356666666666665,91.1322,24.764333333333333,11563.112840466929,b2,88.81,27.0,11502.99086275985
7.71,11.82,0.1285,2.3641666666666663,91.1322,24.635833333333338,11503.112840466923,b2,88.81,27.0,11493.032018943351
7.71,11.81,0.1285,2.492666666666666,91.0551,24.507333333333335,11443.112840466929,b2,88.81,27.0,11438.432326365055
6.02,11.85,0.1003333333333333,2.5929999999999995,71.33699999999999,24.407,14595.548172757475,b2,88.81,27.0,14505.839175550782
6.02,11.85,0.1003333333333333,2.693333333333333,71.33699999999999,24.30666666666667,14535.548172757475,b2,88.81,27.0,14486.110531532147
9.94,11.75,0.1656666666666666,2.8589999999999995,116.795,24.141,8743.219315895374,b2,88.81,27.0,8684.687104128334
